date,ave1,ave2,ave3,high1,high2,high3,low1,low2,low3,rain1,rain2,rain3,rain4
,,,,,,,,,,,,,
2017/1/1,7.4,8,1,13.3,8,1,2.6,8,1,0.0,0,8,1
2017/1/2,7.6,8,1,13.1,8,1,2.0,8,1,0.0,0,8,1
2017/1/3,8.6,8,1,12.3,8,1,4.9,8,1,0.0,0,8,1
2017/1/4,6.9,8,1,12.2,8,1,2.7,8,1,0.0,0,8,1
2017/1/5,5.8,8,1,9.8,8,1,2.8,8,1,0,1,8,1
2017/1/6,4.9,8,1,9.5,8,1,1.8,8,1,0,1,8,1
2017/1/7,5.4,8,1,11.5,8,1,0.1,8,1,0,1,8,1
2017/1/8,4.4,8,1,6.1,8,1,3.0,8,1,13.5,0,8,1
2017/1/9,8.1,8,1,14.0,8,1,4.6,8,1,0.0,0,8,1
2017/1/10,7.4,8,1,12.0,8,1,3.6,8,1,0.0,0,8,1
2017/1/11,4.9,8,1,8.3,8,1,3.3,8,1,0.0,0,8,1
2017/1/12,5.2,8,1,7.7,8,1,2.7,8,1,0.0,0,8,1
2017/1/13,4.4,8,1,9.9,8,1,1.1,8,1,0.0,0,8,1
2017/1/14,0.2,8,1,2.9,8,1,-2.4,8,1,4.0,0,8,1
2017/1/15,-0.4,8,1,3.0,8,1,-3.6,8,1,1.0,0,8,1
2017/1/16,1.8,8,1,5.2,8,1,-0.6,8,1,0.5,0,8,1
2017/1/17,3.4,8,1,9.0,8,1,-1.0,8,1,0,1,8,1
2017/1/18,4.2,8,1,9.2,8,1,-1.4,8,1,0,1,8,1
2017/1/19,5.8,8,1,10.6,8,1,1.8,8,1,0.0,0,8,1
2017/1/20,3.9,8,1,8.8,8,1,0.2,8,1,0.0,0,8,1
2017/1/21,4.6,8,1,8.6,8,1,1.7,8,1,1.0,0,8,1
2017/1/22,4.0,8,1,11.5,8,1,-0.3,8,1,0.0,0,8,1
2017/1/23,2.0,8,1,6.1,8,1,-0.4,8,1,0.0,0,8,1
2017/1/24,1.0,8,1,5.1,8,1,-2.5,8,1,0.0,0,8,1
2017/1/25,2.2,8,1,8.4,8,1,-2.5,8,1,0,1,8,1
2017/1/26,3.5,8,1,10.1,8,1,-1.7,8,1,0,1,8,1
2017/1/27,5.3,8,1,12.7,8,1,-0.3,8,1,0.0,0,8,1
2017/1/28,6.5,8,1,12.9,8,1,1.3,8,1,0,1,8,1
2017/1/29,6.8,8,1,13.0,8,1,0.9,8,1,3.5,0,8,1
2017/1/30,7.5,8,1,13.3,8,1,4.8,8,1,1.0,0,8,1
2017/1/31,4.1,8,1,8.5,8,1,1.3,8,1,0,1,8,1
